"pattern_ref","accepted_pattern_ref","job_external_ref","employee_sample_ref","pattern_title","job_family","core_skills","preferred_skills","target_experience_years","language_benchmark","education_benchmark","certifications","github_expected","portfolio_expected","project_experience_benchmark","evidence_summary","active"
"PAT-JOBUSNORTHSTARBE001-PORTFOLIO","ACP-JOBUSNORTHSTARBE001-02","JOB-US-NORTHSTAR-BE-001","EMP-JOBUSNORTHSTARBE001-02","Northstar Security Backend portfolio evidence pattern","Backend","System Design|Distributed Systems|Java|Spring Boot|MySQL","GraphQL|Security|Kubernetes|Kafka","3","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","true","security automation backend|cloud service backend|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Northstar Security Cloud Backend Engineer.","true"
"PAT-JOBUSNORTHSTARBE001-BRIDGE","ACP-JOBUSNORTHSTARBE001-03","JOB-US-NORTHSTAR-BE-001","EMP-JOBUSNORTHSTARBE001-03","Northstar Security Backend bridge candidate pattern","Backend","Distributed Systems|Java|Spring Boot|MySQL|REST API","Security|Kubernetes|Kafka|Redis","1","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","false","security automation backend|distributed data service|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Northstar Security Cloud Backend Engineer.","true"
"PAT-JOBUSSUMMITBE001-CORE","ACP-JOBUSSUMMITBE001-01","JOB-US-SUMMIT-BE-001","EMP-JOBUSSUMMITBE001-01","Summit Health AI Backend core job-fit pattern","Backend","System Design|Distributed Systems|Java|Spring Boot|MySQL","GraphQL|Security|Kubernetes|Kafka","4","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","true","health data API|cloud service backend|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Summit Health AI Backend Software Engineer.","true"
"PAT-JOBUSSUMMITBE001-PORTFOLIO","ACP-JOBUSSUMMITBE001-02","JOB-US-SUMMIT-BE-001","EMP-JOBUSSUMMITBE001-02","Summit Health AI Backend portfolio evidence pattern","Backend","Distributed Systems|Java|Spring Boot|MySQL|REST API","Security|Kubernetes|Kafka|Redis","5","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","true","health data API|distributed data service|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Summit Health AI Backend Software Engineer.","true"
"PAT-JOBUSSUMMITBE001-BRIDGE","ACP-JOBUSSUMMITBE001-03","JOB-US-SUMMIT-BE-001","EMP-JOBUSSUMMITBE001-03","Summit Health AI Backend bridge candidate pattern","Backend","Java|Spring Boot|MySQL|REST API|Docker","Kubernetes|Kafka|Redis|CI/CD","3","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","false","health data API|high traffic API|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Summit Health AI Backend Software Engineer.","true"
"PAT-JOBUSBLUEHARBORBE001-CORE","ACP-JOBUSBLUEHARBORBE001-01","JOB-US-BLUEHARBOR-BE-001","EMP-JOBUSBLUEHARBORBE001-01","BlueHarbor Games Backend core job-fit pattern","Backend","Distributed Systems|Java|Spring Boot|MySQL|REST API","Security|Kubernetes|Kafka|Redis","3","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","true","game live service backend|distributed data service|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for BlueHarbor Games Online Services Engineer.","true"
"PAT-JOBUSBLUEHARBORBE001-PORTFOLIO","ACP-JOBUSBLUEHARBORBE001-02","JOB-US-BLUEHARBOR-BE-001","EMP-JOBUSBLUEHARBORBE001-02","BlueHarbor Games Backend portfolio evidence pattern","Backend","Java|Spring Boot|MySQL|REST API|Docker","Kubernetes|Kafka|Redis|CI/CD","4","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","true","game live service backend|high traffic API|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for BlueHarbor Games Online Services Engineer.","true"
"PAT-JOBUSBLUEHARBORBE001-BRIDGE","ACP-JOBUSBLUEHARBORBE001-03","JOB-US-BLUEHARBOR-BE-001","EMP-JOBUSBLUEHARBORBE001-03","BlueHarbor Games Backend bridge candidate pattern","Backend","Spring Boot|MySQL|REST API|Docker|AWS","Kafka|Redis|CI/CD|Observability","2","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","false","game live service backend|event processing pipeline|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for BlueHarbor Games Online Services Engineer.","true"
"PAT-JOBUSBRIGHTFE001-CORE","ACP-JOBUSBRIGHTFE001-01","JOB-US-BRIGHT-FE-001","EMP-JOBUSBRIGHTFE001-01","BrightMarket Frontend core job-fit pattern","Frontend","TypeScript|React|Next.js|CSS|REST API","GraphQL|Storybook|Tailwind|Performance","2","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","true","seller analytics dashboard|dashboard UI|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for BrightMarket Frontend Software Engineer.","true"
"PAT-JOBUSBRIGHTFE001-PORTFOLIO","ACP-JOBUSBRIGHTFE001-02","JOB-US-BRIGHT-FE-001","EMP-JOBUSBRIGHTFE001-02","BrightMarket Frontend portfolio evidence pattern","Frontend","React|Next.js|CSS|REST API|Design System","Storybook|Tailwind|Performance|Figma","3","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","true","seller analytics dashboard|customer workflow|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for BrightMarket Frontend Software Engineer.","true"
"PAT-JOBUSBRIGHTFE001-BRIDGE","ACP-JOBUSBRIGHTFE001-03","JOB-US-BRIGHT-FE-001","EMP-JOBUSBRIGHTFE001-03","BrightMarket Frontend bridge candidate pattern","Frontend","Next.js|CSS|REST API|Design System|Testing","Tailwind|Performance|Figma|Playwright","1","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","false","seller analytics dashboard|design system|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for BrightMarket Frontend Software Engineer.","true"
"PAT-JOBUSNOVAFE001-CORE","ACP-JOBUSNOVAFE001-01","JOB-US-NOVA-FE-001","EMP-JOBUSNOVAFE001-01","Nova Commerce Frontend core job-fit pattern","Frontend","React|Next.js|CSS|REST API|Design System","Storybook|Tailwind|Performance|Figma","3","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","true","checkout web experience|customer workflow|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Nova Commerce Product Frontend Engineer.","true"
"PAT-JOBUSNOVAFE001-PORTFOLIO","ACP-JOBUSNOVAFE001-02","JOB-US-NOVA-FE-001","EMP-JOBUSNOVAFE001-02","Nova Commerce Frontend portfolio evidence pattern","Frontend","Next.js|CSS|REST API|Design System|Testing","Tailwind|Performance|Figma|Playwright","4","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","true","checkout web experience|design system|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Nova Commerce Product Frontend Engineer.","true"
"PAT-JOBUSNOVAFE001-BRIDGE","ACP-JOBUSNOVAFE001-03","JOB-US-NOVA-FE-001","EMP-JOBUSNOVAFE001-03","Nova Commerce Frontend bridge candidate pattern","Frontend","CSS|REST API|Design System|Testing|Accessibility","Performance|Figma|Playwright|i18n","2","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","false","checkout web experience|internationalized web app|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Nova Commerce Product Frontend Engineer.","true"
"PAT-JOBUSSKYLINEFE001-CORE","ACP-JOBUSSKYLINEFE001-01","JOB-US-SKYLINE-FE-001","EMP-JOBUSSKYLINEFE001-01","Skyline Travel Frontend core job-fit pattern","Frontend","Next.js|CSS|REST API|Design System|Testing","Tailwind|Performance|Figma|Playwright","2","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","true","travel booking interface|design system|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Skyline Travel Web Application Engineer.","true"
"PAT-JOBUSSKYLINEFE001-PORTFOLIO","ACP-JOBUSSKYLINEFE001-02","JOB-US-SKYLINE-FE-001","EMP-JOBUSSKYLINEFE001-02","Skyline Travel Frontend portfolio evidence pattern","Frontend","CSS|REST API|Design System|Testing|Accessibility","Performance|Figma|Playwright|i18n","3","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","true","travel booking interface|internationalized web app|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Skyline Travel Web Application Engineer.","true"
"PAT-JOBUSSKYLINEFE001-BRIDGE","ACP-JOBUSSKYLINEFE001-03","JOB-US-SKYLINE-FE-001","EMP-JOBUSSKYLINEFE001-03","Skyline Travel Frontend bridge candidate pattern","Frontend","REST API|Design System|Testing|Accessibility|TypeScript","Figma|Playwright|i18n|State Management","1","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","false","travel booking interface|dashboard UI|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Skyline Travel Web Application Engineer.","true"
"PAT-JOBUSORBITFE001-CORE","ACP-JOBUSORBITFE001-01","JOB-US-ORBIT-FE-001","EMP-JOBUSORBITFE001-01","Orbit Media Frontend core job-fit pattern","Frontend","CSS|REST API|Design System|Testing|Accessibility","Performance|Figma|Playwright|i18n","4","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","true","creator workflow UI|internationalized web app|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Orbit Media UI Platform Engineer.","true"
"PAT-JOBUSORBITFE001-PORTFOLIO","ACP-JOBUSORBITFE001-02","JOB-US-ORBIT-FE-001","EMP-JOBUSORBITFE001-02","Orbit Media Frontend portfolio evidence pattern","Frontend","REST API|Design System|Testing|Accessibility|TypeScript","Figma|Playwright|i18n|State Management","5","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","true","creator workflow UI|dashboard UI|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Orbit Media UI Platform Engineer.","true"
"PAT-JOBUSORBITFE001-BRIDGE","ACP-JOBUSORBITFE001-03","JOB-US-ORBIT-FE-001","EMP-JOBUSORBITFE001-03","Orbit Media Frontend bridge candidate pattern","Frontend","Design System|Testing|Accessibility|TypeScript|React","Playwright|i18n|State Management|GraphQL","3","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","false","creator workflow UI|customer workflow|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Orbit Media UI Platform Engineer.","true"
"PAT-JOBUSMEADOWFE001-CORE","ACP-JOBUSMEADOWFE001-01","JOB-US-MEADOW-FE-001","EMP-JOBUSMEADOWFE001-01","Meadow HR Frontend core job-fit pattern","Frontend","REST API|Design System|Testing|Accessibility|TypeScript","Figma|Playwright|i18n|State Management","2","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","true","HR workflow dashboard|dashboard UI|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Meadow HR Frontend Software Engineer.","true"
"PAT-JOBUSMEADOWFE001-PORTFOLIO","ACP-JOBUSMEADOWFE001-02","JOB-US-MEADOW-FE-001","EMP-JOBUSMEADOWFE001-02","Meadow HR Frontend portfolio evidence pattern","Frontend","Design System|Testing|Accessibility|TypeScript|React","Playwright|i18n|State Management|GraphQL","3","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","true","HR workflow dashboard|customer workflow|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Meadow HR Frontend Software Engineer.","true"
"PAT-JOBUSMEADOWFE001-BRIDGE","ACP-JOBUSMEADOWFE001-03","JOB-US-MEADOW-FE-001","EMP-JOBUSMEADOWFE001-03","Meadow HR Frontend bridge candidate pattern","Frontend","Testing|Accessibility|TypeScript|React|Next.js","i18n|State Management|GraphQL|Storybook","1","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","false","HR workflow dashboard|design system|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Meadow HR Frontend Software Engineer.","true"
"PAT-JOBUSVECTORFE001-CORE","ACP-JOBUSVECTORFE001-01","JOB-US-VECTOR-FE-001","EMP-JOBUSVECTORFE001-01","Vector Design Systems Frontend core job-fit pattern","Frontend","Design System|Testing|Accessibility|TypeScript|React","Playwright|i18n|State Management|GraphQL","3","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","true","component library platform|customer workflow|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Vector Design Systems Design System Engineer.","true"
"PAT-JOBUSVECTORFE001-PORTFOLIO","ACP-JOBUSVECTORFE001-02","JOB-US-VECTOR-FE-001","EMP-JOBUSVECTORFE001-02","Vector Design Systems Frontend portfolio evidence pattern","Frontend","Testing|Accessibility|TypeScript|React|Next.js","i18n|State Management|GraphQL|Storybook","4","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","true","component library platform|design system|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Vector Design Systems Design System Engineer.","true"
"PAT-JOBUSVECTORFE001-BRIDGE","ACP-JOBUSVECTORFE001-03","JOB-US-VECTOR-FE-001","EMP-JOBUSVECTORFE001-03","Vector Design Systems Frontend bridge candidate pattern","Frontend","Accessibility|TypeScript|React|Next.js|CSS","State Management|GraphQL|Storybook|Tailwind","2","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","false","component library platform|internationalized web app|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Vector Design Systems Design System Engineer.","true"
"PAT-JOBJPSAKURABE001-CORE","ACP-JOBJPSAKURABE001-01","JOB-JP-SAKURA-BE-001","EMP-JOBJPSAKURABE001-01","Sakura Cloud Backend core job-fit pattern","Backend","System Design|Distributed Systems|Java|Spring Boot|MySQL","GraphQL|Security|Kubernetes|Kafka","3","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","true","cloud control plane API|cloud service backend|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Sakura Cloud Backend Software Engineer.","true"
"PAT-JOBJPSAKURABE001-PORTFOLIO","ACP-JOBJPSAKURABE001-02","JOB-JP-SAKURA-BE-001","EMP-JOBJPSAKURABE001-02","Sakura Cloud Backend portfolio evidence pattern","Backend","Distributed Systems|Java|Spring Boot|MySQL|REST API","Security|Kubernetes|Kafka|Redis","4","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","true","cloud control plane API|distributed data service|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Sakura Cloud Backend Software Engineer.","true"
"PAT-JOBJPSAKURABE001-BRIDGE","ACP-JOBJPSAKURABE001-03","JOB-JP-SAKURA-BE-001","EMP-JOBJPSAKURABE001-03","Sakura Cloud Backend bridge candidate pattern","Backend","Java|Spring Boot|MySQL|REST API|Docker","Kubernetes|Kafka|Redis|CI/CD","2","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","false","cloud control plane API|high traffic API|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Sakura Cloud Backend Software Engineer.","true"
"PAT-JOBJPTOKYOMOBBE001-CORE","ACP-JOBJPTOKYOMOBBE001-01","JOB-JP-TOKYO-MOB-BE-001","EMP-JOBJPTOKYOMOBBE001-01","Tokyo Mobility Backend core job-fit pattern","Backend","Distributed Systems|Java|Spring Boot|MySQL|REST API","Security|Kubernetes|Kafka|Redis","4","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","true","mobility dispatch backend|distributed data service|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Tokyo Mobility Platform Backend Engineer.","true"
"PAT-JOBJPTOKYOMOBBE001-PORTFOLIO","ACP-JOBJPTOKYOMOBBE001-02","JOB-JP-TOKYO-MOB-BE-001","EMP-JOBJPTOKYOMOBBE001-02","Tokyo Mobility Backend portfolio evidence pattern","Backend","Java|Spring Boot|MySQL|REST API|Docker","Kubernetes|Kafka|Redis|CI/CD","5","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","true","mobility dispatch backend|high traffic API|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Tokyo Mobility Platform Backend Engineer.","true"
"PAT-JOBJPTOKYOMOBBE001-BRIDGE","ACP-JOBJPTOKYOMOBBE001-03","JOB-JP-TOKYO-MOB-BE-001","EMP-JOBJPTOKYOMOBBE001-03","Tokyo Mobility Backend bridge candidate pattern","Backend","Spring Boot|MySQL|REST API|Docker|AWS","Kafka|Redis|CI/CD|Observability","3","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","false","mobility dispatch backend|event processing pipeline|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Tokyo Mobility Platform Backend Engineer.","true"
"PAT-JOBJPKYOTOROBBE001-CORE","ACP-JOBJPKYOTOROBBE001-01","JOB-JP-KYOTO-ROB-BE-001","EMP-JOBJPKYOTOROBBE001-01","Kyoto Robotics Backend core job-fit pattern","Backend","Java|Spring Boot|MySQL|REST API|Docker","Kubernetes|Kafka|Redis|CI/CD","3","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","true","robot telemetry service|high traffic API|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Kyoto Robotics Cloud Backend Engineer.","true"
"PAT-JOBJPKYOTOROBBE001-PORTFOLIO","ACP-JOBJPKYOTOROBBE001-02","JOB-JP-KYOTO-ROB-BE-001","EMP-JOBJPKYOTOROBBE001-02","Kyoto Robotics Backend portfolio evidence pattern","Backend","Spring Boot|MySQL|REST API|Docker|AWS","Kafka|Redis|CI/CD|Observability","4","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","true","robot telemetry service|event processing pipeline|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Kyoto Robotics Cloud Backend Engineer.","true"
"PAT-JOBJPKYOTOROBBE001-BRIDGE","ACP-JOBJPKYOTOROBBE001-03","JOB-JP-KYOTO-ROB-BE-001","EMP-JOBJPKYOTOROBBE001-03","Kyoto Robotics Backend bridge candidate pattern","Backend","MySQL|REST API|Docker|AWS|System Design","Redis|CI/CD|Observability|Terraform","2","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","false","robot telemetry service|cloud service backend|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Kyoto Robotics Cloud Backend Engineer.","true"
"PAT-JOBJPNIPPONFINBE001-CORE","ACP-JOBJPNIPPONFINBE001-01","JOB-JP-NIPPON-FIN-BE-001","EMP-JOBJPNIPPONFINBE001-01","Nippon Fintech Backend core job-fit pattern","Backend","Spring Boot|MySQL|REST API|Docker|AWS","Kafka|Redis|CI/CD|Observability","5","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","true","settlement transaction API|event processing pipeline|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Nippon Fintech Backend Software Engineer.","true"
"PAT-JOBJPNIPPONFINBE001-PORTFOLIO","ACP-JOBJPNIPPONFINBE001-02","JOB-JP-NIPPON-FIN-BE-001","EMP-JOBJPNIPPONFINBE001-02","Nippon Fintech Backend portfolio evidence pattern","Backend","MySQL|REST API|Docker|AWS|System Design","Redis|CI/CD|Observability|Terraform","6","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","true","settlement transaction API|cloud service backend|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Nippon Fintech Backend Software Engineer.","true"
"PAT-JOBJPNIPPONFINBE001-BRIDGE","ACP-JOBJPNIPPONFINBE001-03","JOB-JP-NIPPON-FIN-BE-001","EMP-JOBJPNIPPONFINBE001-03","Nippon Fintech Backend bridge candidate pattern","Backend","REST API|Docker|AWS|System Design|Distributed Systems","CI/CD|Observability|Terraform|GraphQL","4","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","false","settlement transaction API|distributed data service|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Nippon Fintech Backend Software Engineer.","true"
