"accepted_pattern_ref","job_external_ref","employee_sample_refs","pattern_title","job_family","modeled_experience_years","modeled_languages","modeled_education","modeled_certifications","modeled_core_skills","modeled_preferred_skills","modeled_portfolio_assets","modeled_project_keywords","derivation_reason","source_confidence","review_status"
"ACP-JOBUSATLASBE001-11","JOB-US-ATLAS-BE-001","EMP-JOBUSATLASBE001-01|EMP-JOBUSATLASBE001-02","Atlas Cloud Backend accepted candidate model 11","Backend","5","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Docker|AWS|System Design|Distributed Systems|Java","Observability|Terraform|GraphQL|Security","GitHub|Portfolio","cloud platform APIs|high traffic API|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSATLASBE001-12","JOB-US-ATLAS-BE-001","EMP-JOBUSATLASBE001-02|EMP-JOBUSATLASBE001-03","Atlas Cloud Backend accepted candidate model 12","Backend","6","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","AWS|System Design|Distributed Systems|Java|Spring Boot","Terraform|GraphQL|Security|Kubernetes","GitHub","cloud platform APIs|event processing pipeline|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSATLASBE001-13","JOB-US-ATLAS-BE-001","EMP-JOBUSATLASBE001-03|EMP-JOBUSATLASBE001-04","Atlas Cloud Backend accepted candidate model 13","Backend","7","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","System Design|Distributed Systems|Java|Spring Boot|MySQL","GraphQL|Security|Kubernetes|Kafka","GitHub|Portfolio","cloud platform APIs|cloud service backend|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSATLASBE001-14","JOB-US-ATLAS-BE-001","EMP-JOBUSATLASBE001-04|EMP-JOBUSATLASBE001-05","Atlas Cloud Backend accepted candidate model 14","Backend","3","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Distributed Systems|Java|Spring Boot|MySQL|REST API","Security|Kubernetes|Kafka|Redis","GitHub|Portfolio","cloud platform APIs|distributed data service|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSATLASBE001-15","JOB-US-ATLAS-BE-001","EMP-JOBUSATLASBE001-05|EMP-JOBUSATLASBE001-01","Atlas Cloud Backend accepted candidate model 15","Backend","4","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Java|Spring Boot|MySQL|REST API|Docker","Kubernetes|Kafka|Redis|CI/CD","GitHub|Portfolio","cloud platform APIs|high traffic API|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSATLASBE001-16","JOB-US-ATLAS-BE-001","EMP-JOBUSATLASBE001-01|EMP-JOBUSATLASBE001-02","Atlas Cloud Backend accepted candidate model 16","Backend","5","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Spring Boot|MySQL|REST API|Docker|AWS","Kafka|Redis|CI/CD|Observability","GitHub","cloud platform APIs|event processing pipeline|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSATLASBE001-17","JOB-US-ATLAS-BE-001","EMP-JOBUSATLASBE001-02|EMP-JOBUSATLASBE001-03","Atlas Cloud Backend accepted candidate model 17","Backend","6","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","MySQL|REST API|Docker|AWS|System Design","Redis|CI/CD|Observability|Terraform","GitHub|Portfolio","cloud platform APIs|cloud service backend|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSATLASBE001-18","JOB-US-ATLAS-BE-001","EMP-JOBUSATLASBE001-03|EMP-JOBUSATLASBE001-04","Atlas Cloud Backend accepted candidate model 18","Backend","7","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","REST API|Docker|AWS|System Design|Distributed Systems","CI/CD|Observability|Terraform|GraphQL","GitHub|Portfolio","cloud platform APIs|distributed data service|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSATLASBE001-19","JOB-US-ATLAS-BE-001","EMP-JOBUSATLASBE001-04|EMP-JOBUSATLASBE001-05","Atlas Cloud Backend accepted candidate model 19","Backend","3","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Docker|AWS|System Design|Distributed Systems|Java","Observability|Terraform|GraphQL|Security","GitHub|Portfolio","cloud platform APIs|high traffic API|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSATLASBE001-20","JOB-US-ATLAS-BE-001","EMP-JOBUSATLASBE001-05|EMP-JOBUSATLASBE001-01","Atlas Cloud Backend accepted candidate model 20","Backend","4","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","AWS|System Design|Distributed Systems|Java|Spring Boot","Terraform|GraphQL|Security|Kubernetes","GitHub","cloud platform APIs|event processing pipeline|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSPACIFICBE001-01","JOB-US-PACIFIC-BE-001","EMP-JOBUSPACIFICBE001-01|EMP-JOBUSPACIFICBE001-02","Pacific Ads Backend accepted candidate model 1","Backend","6","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","REST API|Docker|AWS|System Design|Distributed Systems","CI/CD|Observability|Terraform|GraphQL","GitHub|Portfolio","ad event ingestion|distributed data service|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSPACIFICBE001-02","JOB-US-PACIFIC-BE-001","EMP-JOBUSPACIFICBE001-02|EMP-JOBUSPACIFICBE001-03","Pacific Ads Backend accepted candidate model 2","Backend","7","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Docker|AWS|System Design|Distributed Systems|Java","Observability|Terraform|GraphQL|Security","GitHub|Portfolio","ad event ingestion|high traffic API|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSPACIFICBE001-03","JOB-US-PACIFIC-BE-001","EMP-JOBUSPACIFICBE001-03|EMP-JOBUSPACIFICBE001-04","Pacific Ads Backend accepted candidate model 3","Backend","3","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","AWS|System Design|Distributed Systems|Java|Spring Boot","Terraform|GraphQL|Security|Kubernetes","GitHub|Portfolio","ad event ingestion|event processing pipeline|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSPACIFICBE001-04","JOB-US-PACIFIC-BE-001","EMP-JOBUSPACIFICBE001-04|EMP-JOBUSPACIFICBE001-05","Pacific Ads Backend accepted candidate model 4","Backend","4","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","System Design|Distributed Systems|Java|Spring Boot|MySQL","GraphQL|Security|Kubernetes|Kafka","GitHub","ad event ingestion|cloud service backend|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSPACIFICBE001-05","JOB-US-PACIFIC-BE-001","EMP-JOBUSPACIFICBE001-05|EMP-JOBUSPACIFICBE001-01","Pacific Ads Backend accepted candidate model 5","Backend","5","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Distributed Systems|Java|Spring Boot|MySQL|REST API","Security|Kubernetes|Kafka|Redis","GitHub|Portfolio","ad event ingestion|distributed data service|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSPACIFICBE001-06","JOB-US-PACIFIC-BE-001","EMP-JOBUSPACIFICBE001-01|EMP-JOBUSPACIFICBE001-02","Pacific Ads Backend accepted candidate model 6","Backend","6","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Java|Spring Boot|MySQL|REST API|Docker","Kubernetes|Kafka|Redis|CI/CD","GitHub|Portfolio","ad event ingestion|high traffic API|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSPACIFICBE001-07","JOB-US-PACIFIC-BE-001","EMP-JOBUSPACIFICBE001-02|EMP-JOBUSPACIFICBE001-03","Pacific Ads Backend accepted candidate model 7","Backend","7","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Spring Boot|MySQL|REST API|Docker|AWS","Kafka|Redis|CI/CD|Observability","GitHub|Portfolio","ad event ingestion|event processing pipeline|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSPACIFICBE001-08","JOB-US-PACIFIC-BE-001","EMP-JOBUSPACIFICBE001-03|EMP-JOBUSPACIFICBE001-04","Pacific Ads Backend accepted candidate model 8","Backend","3","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","MySQL|REST API|Docker|AWS|System Design","Redis|CI/CD|Observability|Terraform","GitHub","ad event ingestion|cloud service backend|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSPACIFICBE001-09","JOB-US-PACIFIC-BE-001","EMP-JOBUSPACIFICBE001-04|EMP-JOBUSPACIFICBE001-05","Pacific Ads Backend accepted candidate model 9","Backend","4","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","REST API|Docker|AWS|System Design|Distributed Systems","CI/CD|Observability|Terraform|GraphQL","GitHub|Portfolio","ad event ingestion|distributed data service|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSPACIFICBE001-10","JOB-US-PACIFIC-BE-001","EMP-JOBUSPACIFICBE001-05|EMP-JOBUSPACIFICBE001-01","Pacific Ads Backend accepted candidate model 10","Backend","5","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Docker|AWS|System Design|Distributed Systems|Java","Observability|Terraform|GraphQL|Security","GitHub|Portfolio","ad event ingestion|high traffic API|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSPACIFICBE001-11","JOB-US-PACIFIC-BE-001","EMP-JOBUSPACIFICBE001-01|EMP-JOBUSPACIFICBE001-02","Pacific Ads Backend accepted candidate model 11","Backend","6","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","AWS|System Design|Distributed Systems|Java|Spring Boot","Terraform|GraphQL|Security|Kubernetes","GitHub|Portfolio","ad event ingestion|event processing pipeline|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSPACIFICBE001-12","JOB-US-PACIFIC-BE-001","EMP-JOBUSPACIFICBE001-02|EMP-JOBUSPACIFICBE001-03","Pacific Ads Backend accepted candidate model 12","Backend","7","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","System Design|Distributed Systems|Java|Spring Boot|MySQL","GraphQL|Security|Kubernetes|Kafka","GitHub","ad event ingestion|cloud service backend|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSPACIFICBE001-13","JOB-US-PACIFIC-BE-001","EMP-JOBUSPACIFICBE001-03|EMP-JOBUSPACIFICBE001-04","Pacific Ads Backend accepted candidate model 13","Backend","3","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Distributed Systems|Java|Spring Boot|MySQL|REST API","Security|Kubernetes|Kafka|Redis","GitHub|Portfolio","ad event ingestion|distributed data service|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSPACIFICBE001-14","JOB-US-PACIFIC-BE-001","EMP-JOBUSPACIFICBE001-04|EMP-JOBUSPACIFICBE001-05","Pacific Ads Backend accepted candidate model 14","Backend","4","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Java|Spring Boot|MySQL|REST API|Docker","Kubernetes|Kafka|Redis|CI/CD","GitHub|Portfolio","ad event ingestion|high traffic API|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSPACIFICBE001-15","JOB-US-PACIFIC-BE-001","EMP-JOBUSPACIFICBE001-05|EMP-JOBUSPACIFICBE001-01","Pacific Ads Backend accepted candidate model 15","Backend","5","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Spring Boot|MySQL|REST API|Docker|AWS","Kafka|Redis|CI/CD|Observability","GitHub|Portfolio","ad event ingestion|event processing pipeline|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSPACIFICBE001-16","JOB-US-PACIFIC-BE-001","EMP-JOBUSPACIFICBE001-01|EMP-JOBUSPACIFICBE001-02","Pacific Ads Backend accepted candidate model 16","Backend","6","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","MySQL|REST API|Docker|AWS|System Design","Redis|CI/CD|Observability|Terraform","GitHub","ad event ingestion|cloud service backend|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSPACIFICBE001-17","JOB-US-PACIFIC-BE-001","EMP-JOBUSPACIFICBE001-02|EMP-JOBUSPACIFICBE001-03","Pacific Ads Backend accepted candidate model 17","Backend","7","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","REST API|Docker|AWS|System Design|Distributed Systems","CI/CD|Observability|Terraform|GraphQL","GitHub|Portfolio","ad event ingestion|distributed data service|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSPACIFICBE001-18","JOB-US-PACIFIC-BE-001","EMP-JOBUSPACIFICBE001-03|EMP-JOBUSPACIFICBE001-04","Pacific Ads Backend accepted candidate model 18","Backend","3","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Docker|AWS|System Design|Distributed Systems|Java","Observability|Terraform|GraphQL|Security","GitHub|Portfolio","ad event ingestion|high traffic API|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSPACIFICBE001-19","JOB-US-PACIFIC-BE-001","EMP-JOBUSPACIFICBE001-04|EMP-JOBUSPACIFICBE001-05","Pacific Ads Backend accepted candidate model 19","Backend","4","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","AWS|System Design|Distributed Systems|Java|Spring Boot","Terraform|GraphQL|Security|Kubernetes","GitHub|Portfolio","ad event ingestion|event processing pipeline|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSPACIFICBE001-20","JOB-US-PACIFIC-BE-001","EMP-JOBUSPACIFICBE001-05|EMP-JOBUSPACIFICBE001-01","Pacific Ads Backend accepted candidate model 20","Backend","5","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","System Design|Distributed Systems|Java|Spring Boot|MySQL","GraphQL|Security|Kubernetes|Kafka","GitHub","ad event ingestion|cloud service backend|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSREDWOODBE001-01","JOB-US-REDWOOD-BE-001","EMP-JOBUSREDWOODBE001-01|EMP-JOBUSREDWOODBE001-02","Redwood FinTech Backend accepted candidate model 1","Backend","8","English:FLUENT","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Docker|AWS|System Design|Distributed Systems|Java","Observability|Terraform|GraphQL|Security","GitHub|Portfolio","payment service reliability|high traffic API|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSREDWOODBE001-02","JOB-US-REDWOOD-BE-001","EMP-JOBUSREDWOODBE001-02|EMP-JOBUSREDWOODBE001-03","Redwood FinTech Backend accepted candidate model 2","Backend","4","English:FLUENT","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","AWS|System Design|Distributed Systems|Java|Spring Boot","Terraform|GraphQL|Security|Kubernetes","GitHub|Portfolio","payment service reliability|event processing pipeline|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSREDWOODBE001-03","JOB-US-REDWOOD-BE-001","EMP-JOBUSREDWOODBE001-03|EMP-JOBUSREDWOODBE001-04","Redwood FinTech Backend accepted candidate model 3","Backend","5","English:FLUENT","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","System Design|Distributed Systems|Java|Spring Boot|MySQL","GraphQL|Security|Kubernetes|Kafka","GitHub|Portfolio","payment service reliability|cloud service backend|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSREDWOODBE001-04","JOB-US-REDWOOD-BE-001","EMP-JOBUSREDWOODBE001-04|EMP-JOBUSREDWOODBE001-05","Redwood FinTech Backend accepted candidate model 4","Backend","6","English:FLUENT","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Distributed Systems|Java|Spring Boot|MySQL|REST API","Security|Kubernetes|Kafka|Redis","GitHub","payment service reliability|distributed data service|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSREDWOODBE001-05","JOB-US-REDWOOD-BE-001","EMP-JOBUSREDWOODBE001-05|EMP-JOBUSREDWOODBE001-01","Redwood FinTech Backend accepted candidate model 5","Backend","7","English:FLUENT","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Java|Spring Boot|MySQL|REST API|Docker","Kubernetes|Kafka|Redis|CI/CD","GitHub|Portfolio","payment service reliability|high traffic API|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSREDWOODBE001-06","JOB-US-REDWOOD-BE-001","EMP-JOBUSREDWOODBE001-01|EMP-JOBUSREDWOODBE001-02","Redwood FinTech Backend accepted candidate model 6","Backend","8","English:FLUENT","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Spring Boot|MySQL|REST API|Docker|AWS","Kafka|Redis|CI/CD|Observability","GitHub|Portfolio","payment service reliability|event processing pipeline|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSREDWOODBE001-07","JOB-US-REDWOOD-BE-001","EMP-JOBUSREDWOODBE001-02|EMP-JOBUSREDWOODBE001-03","Redwood FinTech Backend accepted candidate model 7","Backend","4","English:FLUENT","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","MySQL|REST API|Docker|AWS|System Design","Redis|CI/CD|Observability|Terraform","GitHub|Portfolio","payment service reliability|cloud service backend|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSREDWOODBE001-08","JOB-US-REDWOOD-BE-001","EMP-JOBUSREDWOODBE001-03|EMP-JOBUSREDWOODBE001-04","Redwood FinTech Backend accepted candidate model 8","Backend","5","English:FLUENT","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","REST API|Docker|AWS|System Design|Distributed Systems","CI/CD|Observability|Terraform|GraphQL","GitHub","payment service reliability|distributed data service|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSREDWOODBE001-09","JOB-US-REDWOOD-BE-001","EMP-JOBUSREDWOODBE001-04|EMP-JOBUSREDWOODBE001-05","Redwood FinTech Backend accepted candidate model 9","Backend","6","English:FLUENT","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Docker|AWS|System Design|Distributed Systems|Java","Observability|Terraform|GraphQL|Security","GitHub|Portfolio","payment service reliability|high traffic API|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSREDWOODBE001-10","JOB-US-REDWOOD-BE-001","EMP-JOBUSREDWOODBE001-05|EMP-JOBUSREDWOODBE001-01","Redwood FinTech Backend accepted candidate model 10","Backend","7","English:FLUENT","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","AWS|System Design|Distributed Systems|Java|Spring Boot","Terraform|GraphQL|Security|Kubernetes","GitHub|Portfolio","payment service reliability|event processing pipeline|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSREDWOODBE001-11","JOB-US-REDWOOD-BE-001","EMP-JOBUSREDWOODBE001-01|EMP-JOBUSREDWOODBE001-02","Redwood FinTech Backend accepted candidate model 11","Backend","8","English:FLUENT","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","System Design|Distributed Systems|Java|Spring Boot|MySQL","GraphQL|Security|Kubernetes|Kafka","GitHub|Portfolio","payment service reliability|cloud service backend|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
